student_id_1,lifestyle_type_1,age_1,gender_1,course_1,year_of_study_1,hostel_block_1,sleep_time_1,wake_time_1,alarm_count_1,snooze_frequency_1,noise_sleep_tolerance_1,lights_off_time_1,study_hours_1,study_time_preference_1,silence_requirement_1,self_talking_study_1,academic_seriousness_1,cleanliness_score_1,organization_score_1,laundry_frequency_1,bed_making_habit_1,room_cleaning_frequency_1,bathing_frequency_1,towel_management_1,phone_call_frequency_1,late_night_calls_1,talkativeness_1,guest_frequency_1,overnight_guest_comfort_1,friendship_expectation_1,guest_timing_preference_1,privacy_preference_1,sharing_comfort_1,boundary_importance_1,unauthorized_usage_1,borrowing_frequency_1,independence_preference_1,fan_speed_preference_1,temperature_preference_1,entry_exit_noise_awareness_1,conflict_tolerance_1,conflict_style_1,criticism_response_1,emotional_stability_1,negativity_level_1,communication_respect_1,punctuality_1,adaptability_1,schedule_consistency_1,smoking_1,drinking_1,gaming_hours_1,music_frequency_1,music_volume_1,room_eating_habit_1,food_smell_tolerance_1,food_preference_1,gym_frequency_1,religious_practice_frequency_1,expense_responsibility_1,student_id_2,lifestyle_type_2,age_2,gender_2,course_2,year_of_study_2,hostel_block_2,sleep_time_2,wake_time_2,alarm_count_2,snooze_frequency_2,noise_sleep_tolerance_2,lights_off_time_2,study_hours_2,study_time_preference_2,silence_requirement_2,self_talking_study_2,academic_seriousness_2,cleanliness_score_2,organization_score_2,laundry_frequency_2,bed_making_habit_2,room_cleaning_frequency_2,bathing_frequency_2,towel_management_2,phone_call_frequency_2,late_night_calls_2,talkativeness_2,guest_frequency_2,overnight_guest_comfort_2,friendship_expectation_2,guest_timing_preference_2,privacy_preference_2,sharing_comfort_2,boundary_importance_2,unauthorized_usage_2,borrowing_frequency_2,independence_preference_2,fan_speed_preference_2,temperature_preference_2,entry_exit_noise_awareness_2,conflict_tolerance_2,conflict_style_2,criticism_response_2,emotional_stability_2,negativity_level_2,communication_respect_2,punctuality_2,adaptability_2,schedule_consistency_2,smoking_2,drinking_2,gaming_hours_2,music_frequency_2,music_volume_2,room_eating_habit_2,food_smell_tolerance_2,food_preference_2,gym_frequency_2,religious_practice_frequency_2,expense_responsibility_2,compatibility_score,sleep_time_diff,wake_time_diff,study_hours_diff,cleanliness_score_diff,privacy_preference_diff,talkativeness_diff,friendship_expectation_diff,gaming_hours_diff,guest_frequency_diff,noise_sleep_tolerance_diff,sleep_time_similarity,wake_time_similarity,study_hours_similarity,cleanliness_score_similarity,privacy_preference_similarity,talkativeness_similarity,friendship_expectation_similarity,gaming_hours_similarity,guest_frequency_similarity,noise_sleep_tolerance_similarity,sleep_compatibility,study_compatibility,cleanliness_compatibility,social_compatibility,privacy_compatibility,same_lifestyle_type,behavioral_alignment_score
350,clean_freak,20,Male,BBA,3,D,0,8,1,3,4,0,3,Afternoon,5,2,1,4,3,5,1,7,2,1,1,4,4,3,0,4,Morning,4,2,4,0,1,3,5,4,4,4,Direct,3,4,3,5,4,2,4,0,0,1,4,5,1,1,Non-Vegetarian,2,1,4,232,average,18,Female,ME,3,C,1,8,1,2,2,1,2,Evening,2,1,5,3,4,6,1,5,2,5,3,5,3,3,0,3,Evening,3,3,3,0,4,4,4,2,4,4,Avoid,5,4,4,2,5,2,4,1,1,3,1,2,1,4,Non-Vegetarian,2,4,4,82.14,1,0,1,1,1,1,1,2,0,2,0.916666667,1,0.833333333,0.75,0.75,0.75,0.75,0.75,1,0.5,0.958333333,0.833333333,0.75,0.833333333,0.75,0,0.825
250,social,18,Female,ECE,3,D,23,9,4,3,3,23,3,Evening,2,3,4,2,2,4,1,7,1,2,5,5,5,5,1,5,Afternoon,2,4,3,0,5,3,2,3,3,3,Complain,3,5,2,5,2,3,2,0,1,4,5,4,1,4,Vegetarian,1,3,2,1,social,18,Female,CE,2,B,1,7,5,1,5,1,4,Morning,1,1,2,2,3,5,0,5,1,5,4,2,5,5,1,4,Afternoon,3,5,3,0,2,1,3,1,2,4,Direct,4,4,3,4,1,4,3,0,0,1,5,5,1,3,Eggetarian,0,1,4,81.2,22,2,1,0,1,0,1,3,0,2,-0.833333333,0.833333333,0.833333333,1,0.75,1,0.75,0.625,1,0.5,5.55E-17,0.833333333,1,0.916666667,0.75,1,0.7
227,social,21,Male,BCOM,3,C,1,8,5,1,3,1,1,Evening,1,2,4,3,3,3,0,2,2,3,2,4,4,4,1,5,Anytime,3,5,4,1,4,1,3,3,4,4,Direct,5,5,2,2,2,4,2,1,0,3,5,5,0,3,Eggetarian,1,3,4,330,average,18,Female,BCOM,1,B,22,9,2,3,1,22,2,Evening,3,5,3,3,3,2,1,2,1,2,1,1,4,3,0,3,Evening,3,3,4,1,5,3,4,1,2,2,Direct,4,3,2,5,2,3,3,1,0,4,2,1,1,2,Eggetarian,1,2,4,81.3,21,1,1,0,0,0,2,1,1,2,-0.75,0.916666667,0.833333333,1,1,1,0.5,0.875,0.75,0.5,0.083333333,0.833333333,1,0.75,1,0,0.733333333
150,social,23,Female,BBA,1,A,1,7,4,1,3,1,4,Evening,4,2,1,2,2,3,0,4,1,2,1,3,5,4,1,4,Evening,3,4,2,1,3,1,3,4,4,5,Complain,3,2,1,5,1,3,4,1,0,2,4,3,0,2,Vegetarian,2,5,2,178,night_owl,24,Male,ME,2,B,2,8,2,4,1,2,4,Afternoon,2,4,1,4,3,1,0,4,2,5,3,2,2,3,1,3,Morning,4,3,4,0,3,2,3,3,3,3,Aggressive,3,4,1,3,1,2,1,0,0,3,4,3,0,5,Vegetarian,2,4,3,67.41,1,1,0,2,1,3,1,1,1,2,0.916666667,0.916666667,1,0.5,0.75,0.25,0.75,0.875,0.75,0.5,0.916666667,1,0.5,0.583333333,0.75,0,0.75
436,gamer,22,Female,ECE,3,C,1,7,3,1,5,1,2,Evening,5,1,3,3,4,6,0,6,3,1,3,4,3,3,1,4,Evening,2,4,4,0,4,2,4,4,2,2,Complain,2,4,2,2,3,3,2,0,1,6,4,2,0,3,Vegetarian,4,1,4,305,average,19,Female,BCOM,3,A,23,7,1,1,3,23,2,Morning,4,3,5,2,3,5,0,3,3,3,2,5,3,3,0,4,Afternoon,3,4,2,0,4,3,2,2,4,2,Avoid,5,4,2,4,4,3,2,0,0,4,2,3,1,3,Vegetarian,2,3,2,86.41,22,0,0,1,1,0,0,2,0,2,-0.833333333,1,1,0.75,0.75,1,1,0.75,1,0.5,0.083333333,1,0.75,1,0.75,0,0.716666667
380,night_owl,18,Female,ME,4,B,1,8,4,4,5,1,5,Afternoon,4,4,2,2,1,7,0,7,3,5,4,2,2,3,1,4,Morning,4,3,4,0,5,3,2,4,3,2,Avoid,5,4,1,2,1,2,1,0,0,2,2,1,0,4,Vegetarian,3,5,4,317,gamer,21,Female,EE,2,C,0,6,1,3,3,0,5,Night,1,4,1,3,2,2,1,4,2,4,2,5,4,2,0,4,Anytime,3,3,2,0,4,3,5,5,3,3,Avoid,5,4,4,3,2,3,3,0,0,4,5,5,0,5,Eggetarian,1,2,3,74.8,1,2,0,1,1,2,0,2,1,2,0.916666667,0.833333333,1,0.75,0.75,0.5,1,0.75,0.75,0.5,0.875,1,0.75,0.75,0.75,0,0.825
431,disciplined,22,Female,BCOM,1,B,22,5,4,3,2,22,5,Morning,3,3,2,5,5,5,0,6,3,4,3,3,4,1,0,3,Evening,4,4,2,0,1,3,5,4,5,2,Complain,4,5,4,4,2,4,4,1,0,1,4,4,1,4,Eggetarian,0,2,5,374,average,22,Male,EE,1,D,0,7,5,4,2,0,5,Afternoon,3,5,1,2,1,3,0,7,3,3,4,4,4,3,1,4,Afternoon,2,3,2,0,4,4,1,2,2,2,Direct,2,2,1,5,5,2,2,0,1,4,1,1,1,2,Non-Vegetarian,2,1,4,70.09,22,2,0,3,2,0,1,3,2,0,-0.833333333,0.833333333,1,0.25,0.5,1,0.75,0.625,0.5,1,5.55E-17,1,0.25,0.75,0.5,0,0.5
42,social,22,Male,BBA,4,A,0,9,4,5,3,0,4,Night,2,3,4,2,3,4,0,7,1,3,2,4,4,5,1,5,Afternoon,2,4,3,0,3,3,1,4,3,3,Complain,5,3,1,4,4,4,4,0,0,2,4,4,0,4,Non-Vegetarian,0,2,2,192,introvert,18,Female,CSE,1,A,22,7,5,5,3,22,4,Afternoon,5,4,2,5,5,2,1,7,1,5,4,2,2,1,0,1,Anytime,5,3,4,1,2,4,2,5,2,4,Direct,5,4,5,3,3,2,2,0,0,4,1,3,0,2,Eggetarian,4,1,4,54.46,22,2,0,3,3,2,4,2,4,0,-0.833333333,0.833333333,1,0.25,0.25,0.5,0,0.75,0,1,5.55E-17,1,0.25,0.166666667,0.25,0,0.333333333
443,average,18,Male,ME,2,A,0,9,4,2,2,0,3,Afternoon,5,4,2,4,3,2,1,3,2,1,2,5,2,3,0,2,Anytime,3,3,4,0,3,2,4,4,2,4,Avoid,3,4,2,2,2,2,4,0,0,1,3,1,0,5,Eggetarian,1,2,2,101,average,20,Female,BCOM,2,D,0,6,5,2,4,0,5,Morning,5,1,2,4,5,5,0,4,2,3,4,1,2,3,0,3,Morning,3,3,4,0,1,2,1,4,4,3,Direct,5,3,4,5,1,2,3,0,0,2,2,1,1,4,Non-Vegetarian,3,3,4,85.17,0,3,2,0,0,0,1,1,0,2,1,0.75,0.666666667,1,1,1,0.75,0.875,1,0.5,0.875,0.666666667,1,0.916666667,1,1,0.891666667
29,gamer,18,Male,BCOM,3,A,1,6,4,5,3,1,3,Night,1,3,2,2,2,1,1,7,1,2,1,3,3,2,1,3,Morning,2,2,3,0,2,4,5,5,3,2,Complain,3,3,1,2,2,3,3,1,0,4,5,5,0,3,Eggetarian,1,3,3,131,average,22,Female,CE,4,D,0,9,5,2,1,0,3,Night,2,4,3,4,5,7,1,5,3,1,5,2,3,3,0,2,Afternoon,4,4,3,1,4,3,1,2,3,3,Complain,3,4,5,3,4,2,2,0,0,1,2,3,1,5,Eggetarian,3,4,4,72.67,1,3,0,2,2,0,1,3,1,2,0.916666667,0.75,1,0.5,0.5,1,0.75,0.625,0.75,0.5,0.833333333,1,0.5,0.833333333,0.5,0,0.733333333
141,average,20,Female,CSE,3,A,22,9,4,4,5,22,4,Morning,4,4,4,4,5,6,1,2,3,1,5,1,3,3,0,3,Anytime,3,2,3,0,4,4,4,1,2,3,Avoid,5,4,4,3,5,2,4,0,1,4,2,3,1,5,Eggetarian,2,4,2,163,average,18,Male,BCOM,3,B,0,8,1,5,4,0,4,Morning,2,3,3,2,1,5,0,6,1,2,5,4,4,3,0,3,Morning,2,3,2,0,1,4,2,2,2,2,Avoid,3,3,5,2,4,4,3,0,0,2,2,4,0,3,Non-Vegetarian,2,5,3,80.85,22,1,0,2,1,1,0,2,0,1,-0.833333333,0.916666667,1,0.5,0.75,0.75,1,0.75,1,0.75,0.041666667,1,0.5,0.916666667,0.75,1,0.641666667
27,night_owl,19,Male,BCOM,1,C,1,9,1,2,4,1,5,Afternoon,3,3,3,3,3,7,1,6,3,1,3,1,3,2,1,3,Evening,4,4,4,0,3,2,5,2,3,3,Aggressive,3,2,3,5,3,2,3,0,1,4,3,1,1,4,Vegetarian,1,3,3,6,social,18,Male,BBA,3,C,23,9,3,2,3,23,4,Afternoon,3,4,3,2,1,4,0,1,3,2,5,3,4,5,1,4,Afternoon,2,5,2,1,5,3,3,5,4,5,Direct,5,4,3,2,2,3,2,0,1,2,5,4,0,4,Vegetarian,2,5,3,72.22,22,0,1,1,2,1,1,2,3,1,-0.833333333,1,0.833333333,0.75,0.5,0.75,0.75,0.75,0.25,0.75,0.083333333,0.833333333,0.75,0.583333333,0.5,0,0.55
415,average,20,Female,CE,1,D,23,8,4,4,2,23,2,Afternoon,5,1,4,3,3,1,0,3,3,5,5,3,2,2,0,2,Anytime,4,2,3,0,5,2,2,5,2,3,Avoid,4,2,3,5,1,2,3,1,0,4,3,2,1,3,Eggetarian,2,3,2,91,fitness_focused,20,Female,ME,4,A,23,6,2,1,4,23,3,Evening,4,3,4,3,3,6,0,3,1,2,1,3,3,2,1,2,Afternoon,3,3,2,0,2,3,4,2,4,2,Avoid,5,4,3,4,4,5,5,0,0,3,2,1,0,4,Non-Vegetarian,7,3,4,81.99,0,2,1,0,1,1,0,1,0,2,1,0.833333333,0.833333333,1,0.75,0.75,1,0.875,1,0.5,0.916666667,0.833333333,1,0.916666667,0.75,0,0.883333333
4,gamer,24,Male,EE,4,C,1,9,1,2,2,1,2,Evening,1,5,5,2,3,2,0,1,3,1,2,1,2,3,0,4,Afternoon,3,4,3,0,5,2,5,5,3,2,Aggressive,5,2,1,2,4,3,2,1,0,4,4,1,1,4,Vegetarian,1,2,2,68,gamer,23,Female,EE,2,B,0,6,4,2,3,0,3,Evening,1,2,3,2,3,7,1,4,2,3,3,5,3,3,0,3,Morning,4,4,4,0,4,2,5,1,4,3,Complain,5,2,2,3,2,3,2,1,0,6,4,1,1,4,Eggetarian,1,3,4,84.82,1,3,1,0,1,1,1,2,0,1,0.916666667,0.75,0.833333333,1,0.75,0.75,0.75,0.75,1,0.75,0.833333333,0.833333333,1,0.833333333,0.75,1,0.85
398,clean_freak,19,Male,EE,3,D,1,7,4,5,1,1,3,Afternoon,4,3,3,2,1,2,1,4,1,4,5,3,4,2,0,3,Evening,5,4,5,0,1,3,1,2,4,2,Direct,4,2,2,5,5,3,4,0,1,4,3,4,1,3,Eggetarian,3,2,2,331,gamer,18,Male,CSE,3,D,1,9,1,3,3,1,2,Morning,1,1,4,4,4,6,1,1,2,1,1,3,4,2,0,4,Evening,4,2,3,0,1,3,2,1,3,4,Direct,4,4,5,5,4,4,3,1,1,5,4,2,1,5,Eggetarian,0,4,3,79.32,0,2,1,2,1,0,1,1,0,2,1,0.833333333,0.833333333,0.5,0.75,1,0.75,0.875,1,0.5,0.916666667,0.833333333,0.5,0.916666667,0.75,0,0.783333333
194,disciplined,20,Female,BCOM,1,B,23,7,3,1,2,23,7,Morning,5,1,5,4,3,7,1,1,1,1,3,2,2,1,0,3,Evening,3,2,2,0,3,4,5,3,5,4,Aggressive,5,5,2,5,2,4,5,1,0,2,3,2,0,5,Non-Vegetarian,3,4,5,381,gamer,22,Female,IT,1,D,1,9,4,1,1,1,5,Evening,5,2,1,4,5,5,0,7,3,3,2,1,4,2,1,4,Anytime,3,2,3,0,3,4,4,5,4,4,Avoid,4,3,4,3,1,4,3,0,1,7,5,3,1,5,Vegetarian,4,3,4,74.75,22,2,2,0,0,2,1,5,1,1,-0.833333333,0.833333333,0.666666667,1,1,0.5,0.75,0.375,0.75,0.75,5.55E-17,0.666666667,1,0.666666667,1,0,0.666666667
414,social,22,Female,ECE,3,C,1,8,5,5,2,1,1,Evening,2,1,4,4,3,2,0,2,1,2,4,5,4,4,1,5,Afternoon,3,5,3,1,1,1,4,5,2,3,Direct,4,2,1,2,4,2,3,0,0,1,4,4,0,3,Vegetarian,3,4,2,267,social,21,Male,CSE,4,C,0,7,2,3,2,0,3,Night,3,5,3,4,4,6,0,2,2,5,2,5,4,4,1,5,Anytime,1,5,4,0,4,1,5,3,2,5,Direct,4,4,1,5,4,2,3,0,0,1,5,3,0,2,Non-Vegetarian,2,5,3,90.08,1,1,2,0,2,0,0,0,0,0,0.916666667,0.916666667,0.666666667,1,0.5,1,1,1,1,1,0.916666667,0.666666667,1,1,0.5,1,0.816666667
125,social,24,Male,CSE,2,C,0,8,4,3,2,0,1,Afternoon,2,5,2,2,3,5,0,4,2,1,1,2,4,5,1,5,Evening,3,5,2,1,5,3,3,2,4,4,Direct,5,2,1,3,2,4,2,0,0,2,4,3,1,2,Vegetarian,0,4,3,287,disciplined,24,Male,ME,4,C,23,7,4,3,2,23,4,Afternoon,1,5,4,5,5,2,0,1,2,1,2,2,3,1,1,2,Anytime,4,4,3,0,2,2,1,2,4,3,Aggressive,2,4,4,4,4,4,4,1,0,2,3,4,1,4,Eggetarian,2,5,4,62.8,23,1,3,3,1,1,3,0,4,0,-0.916666667,0.916666667,0.5,0.25,0.75,0.75,0.25,1,0,1,-5.55E-17,0.5,0.25,0.333333333,0.75,0,0.366666667
254,average,19,Female,ECE,3,D,22,8,1,5,1,22,2,Evening,1,2,1,4,3,1,1,4,2,1,5,5,3,2,0,2,Anytime,2,4,2,0,1,4,2,5,3,4,Avoid,5,3,5,3,4,2,4,0,1,1,3,3,0,4,Eggetarian,1,5,4,285,fitness_focused,19,Male,EE,4,D,1,9,5,4,5,1,4,Night,3,5,4,2,3,7,1,2,1,2,1,5,3,3,0,4,Anytime,3,3,3,0,1,3,4,2,2,2,Aggressive,3,5,3,4,3,5,4,0,0,2,1,2,1,4,Non-Vegetarian,6,4,5,69.49,21,1,2,2,1,0,2,1,1,4,-0.75,0.916666667,0.666666667,0.5,0.75,1,0.5,0.875,0.75,0,0.083333333,0.666666667,0.5,0.75,0.75,0,0.55
314,night_owl,18,Male,IT,3,B,2,10,4,1,4,2,6,Morning,4,1,2,2,3,1,0,5,1,1,4,1,2,3,0,4,Evening,2,3,3,0,4,2,2,2,3,2,Complain,4,4,5,2,2,4,2,0,0,4,3,5,0,2,Non-Vegetarian,2,3,2,18,night_owl,20,Male,CE,4,B,4,8,3,4,4,4,5,Afternoon,4,1,2,4,5,3,0,7,2,1,5,4,2,2,1,4,Afternoon,2,3,3,0,5,4,4,1,3,4,Aggressive,4,5,5,2,5,2,1,0,0,1,4,1,0,5,Vegetarian,2,1,2,82.99,2,2,1,2,0,0,0,3,1,0,0.833333333,0.833333333,0.833333333,0.5,1,1,1,0.625,0.75,1,0.833333333,0.833333333,0.5,0.916666667,1,1,0.816666667
